"frame_num","time_elapsed","bboxes"
"0","793.6153564453125","[[0.2613637447357178,0.1467597782611847,0.4172864556312561,0.5260619521141052],[0.561272382736206,0.374597430229187,0.6092161536216736,0.49025776982307434]]"
"1","609.4642333984375","[[0.2500605285167694,0.15720407664775848,0.4084025025367737,0.5441396236419678],[0.5612210631370544,0.37935540080070496,0.6074732542037964,0.49251747131347656]]"
"2","608.7930908203125","[[0.23576350510120392,0.16982068121433258,0.39992764592170715,0.5619852542877197],[0.559352695941925,0.3825390338897705,0.6043698191642761,0.4944238066673279]]"
"3","611.5471801757812","[[0.22362782061100006,0.17400027811527252,0.39180782437324524,0.5734838247299194],[0.5556192398071289,0.38412734866142273,0.6026763319969177,0.5005944967269897]]"
"4","613.9205322265625","[[0.212729349732399,0.17810535430908203,0.3854135274887085,0.5836350321769714],[0.5540250539779663,0.38624119758605957,0.6011078357696533,0.5037567019462585]]"
"5","616.5440673828125","[[0.20113177597522736,0.17122529447078705,0.3819797933101654,0.589818000793457],[0.5539630651473999,0.38872551918029785,0.600411593914032,0.5043147206306458]]"
"6","615.6199340820312","[[0.19145669043064117,0.15340037643909454,0.37679293751716614,0.5975674390792847],[0.5546258687973022,0.39128297567367554,0.6007972359657288,0.5038673877716064]]"
"7","615.6861572265625","[[0.17172794044017792,0.13292287290096283,0.3658069968223572,0.592564046382904],[0.5525563359260559,0.39374497532844543,0.6012216210365295,0.5137028694152832]]"
"8","606.377197265625","[[0.15427175164222717,0.12688258290290833,0.3530026078224182,0.5842171907424927],[0.5518346428871155,0.3967105746269226,0.5996573567390442,0.5127776265144348]]"
"9","618.7735595703125","[[0.13987629115581512,0.10831275582313538,0.3441110849380493,0.574794590473175],[0.5514425039291382,0.3986348807811737,0.5985775589942932,0.5142480134963989]]"
"10","607.9494018554688","[[0.12993115186691284,0.08808758854866028,0.3364500105381012,0.5614094734191895],[0.5520257949829102,0.4010501801967621,0.5987433195114136,0.5184073448181152]]"
"11","619.4238891601562","[[0.12477925419807434,0.07254424691200256,0.33139508962631226,0.5498391389846802],[0.5542639493942261,0.40605342388153076,0.6021179556846619,0.5288905501365662]]"
"12","614.4384155273438","[[0.12096729129552841,0.06292814761400223,0.3306015431880951,0.5335459113121033],[0.5597726702690125,0.41232773661613464,0.605925977230072,0.533618152141571]]"
"13","610.9295043945312","[[0.12320844829082489,0.05312901735305786,0.3308011293411255,0.5160409212112427],[0.5616551637649536,0.4171787202358246,0.6107510328292847,0.5416443943977356]]"
"14","613.8720703125","[[0.12408490478992462,0.05315215140581131,0.3316182792186737,0.5093207359313965],[0.5651145577430725,0.41876140236854553,0.613861083984375,0.5447705984115601]]"
"15","612.9962768554688","[[0.12496009469032288,0.05196565017104149,0.33231040835380554,0.5097354054450989],[0.5680753588676453,0.4178638458251953,0.6158362030982971,0.5423708558082581]]"
"16","612.1618041992188","[[0.13101275265216827,0.06423726677894592,0.33633744716644287,0.5146273970603943],[0.5702323317527771,0.4163275361061096,0.6174468398094177,0.5398158431053162]]"
"17","613.9957885742188","[[0.1404891312122345,0.08264567703008652,0.3431723713874817,0.5257245898246765],[0.5726231336593628,0.418317973613739,0.6182721853256226,0.5383040904998779]]"
"18","612.2952880859375","[[0.15104618668556213,0.10163935273885727,0.3524143099784851,0.5377539396286011],[0.5780684351921082,0.41925954818725586,0.6237086057662964,0.5396311283111572]]"
"19","613.2728881835938","[[0.158330038189888,0.113194040954113,0.354834645986557,0.5538578629493713],[0.5804078578948975,0.41852569580078125,0.623900830745697,0.5412976145744324]]"
"20","615.6353759765625","[[0.16621415317058563,0.13228270411491394,0.35771897435188293,0.5705178380012512],[0.5805955529212952,0.4188198745250702,0.6235656142234802,0.5393351316452026]]"
"21","613.343017578125","[[0.17409364879131317,0.1532992273569107,0.3601432144641876,0.5797508358955383],[0.5811401605606079,0.41921254992485046,0.62446528673172,0.5375053286552429]]"
"22","624.973388671875","[[0.1831691861152649,0.16098575294017792,0.3647938072681427,0.5828304290771484],[0.581671953201294,0.41879376769065857,0.6244186162948608,0.5372045040130615]]"
"23","617.2000732421875","[[0.19144052267074585,0.16979064047336578,0.36914312839508057,0.5839547514915466],[0.5829362869262695,0.4168548285961151,0.6259524822235107,0.5341463685035706]]"
"24","612.3233642578125","[[0.19758155941963196,0.1674710214138031,0.37182265520095825,0.578906774520874],[0.584839940071106,0.4134415090084076,0.6271873712539673,0.5311024188995361]]"
"25","615.8740844726562","[[0.2131195217370987,0.15834768116474152,0.37651538848876953,0.5652600526809692],[0.585027277469635,0.4069899320602417,0.6293719410896301,0.5239242315292358]]"
"26","614.1073608398438","[[0.21319301426410675,0.14849266409873962,0.3769240081310272,0.5482461452484131],[0.5848922729492188,0.4035355746746063,0.6293946504592896,0.5227109789848328]]"
"27","619.18994140625","[[0.218687504529953,0.14255797863006592,0.3788999021053314,0.5182493925094604],[0.5854957103729248,0.40056493878364563,0.6294193267822266,0.5211949944496155]]"
"28","614.2236328125","[[0.22818228602409363,0.14022913575172424,0.37992048263549805,0.5064093470573425],[0.5857055187225342,0.39728522300720215,0.6312419772148132,0.520957350730896]]"
"29","627.5449829101562","[[0.23139038681983948,0.13402366638183594,0.38161027431488037,0.4936366379261017],[0.5875523686408997,0.3966289460659027,0.6335458159446716,0.5207042098045349]]"
"30","614.6494140625","[[0.23294098675251007,0.11950905621051788,0.3831257224082947,0.48774510622024536],[0.5901368260383606,0.397941917181015,0.6369710564613342,0.5205563902854919]]"
"31","623.9671020507812","[[0.23561984300613403,0.10958269238471985,0.3835146129131317,0.4768403172492981],[0.5938854217529297,0.4003795385360718,0.64085453748703,0.522918164730072]]"
"32","622.163330078125","[[0.23831509053707123,0.10690608620643616,0.3842127025127411,0.47238242626190186],[0.5977314710617065,0.40176063776016235,0.6425681710243225,0.5252532958984375]]"
"33","626.835205078125","[[0.2405436486005783,0.1087842807173729,0.38473445177078247,0.4681432247161865],[0.6000787019729614,0.4030139446258545,0.6462846994400024,0.5260945558547974]]"
"34","618.6362915039062","[[0.24235615134239197,0.11114224046468735,0.38550078868865967,0.4680616557598114],[0.6021546125411987,0.40481799840927124,0.6479156017303467,0.5259865522384644]]"
"35","617.8401489257812","[[0.24540658295154572,0.12607422471046448,0.38744333386421204,0.4765464961528778],[0.6023023128509521,0.40399566292762756,0.6487488150596619,0.525587797164917]]"
"36","621.7158203125","[[0.24903316795825958,0.14062298834323883,0.3912659287452698,0.49595290422439575],[0.6037526726722717,0.4007411599159241,0.6503831148147583,0.5232734680175781]]"
"37","616.7383422851562","[[0.25390860438346863,0.159262016415596,0.39598777890205383,0.5018001198768616],[0.6043996214866638,0.39713340997695923,0.6518039107322693,0.5214318633079529]]"
"38","616.2843627929688","[[0.2543773353099823,0.1702215075492859,0.39702528715133667,0.5115167498588562],[0.6021890044212341,0.3925003409385681,0.6487923264503479,0.516001284122467]]"
"39","622.671630859375","[[0.2593587338924408,0.19979244470596313,0.39932823181152344,0.5286735892295837],[0.6014911532402039,0.3905836343765259,0.6486476063728333,0.514802098274231]]"
"40","617.0526123046875","[[0.2684578001499176,0.21915698051452637,0.40365275740623474,0.5462839603424072],[0.6011946201324463,0.38826829195022583,0.6483803391456604,0.5139074325561523]]"
"41","624.1522216796875","[[0.27226004004478455,0.2331102192401886,0.408831387758255,0.5602321028709412],[0.600845992565155,0.3861803710460663,0.6482845544815063,0.5132248997688293]]"
"42","631.0761108398438","[[0.27479231357574463,0.2348976880311966,0.4128575623035431,0.570375919342041],[0.6004678010940552,0.384002685546875,0.6486958265304565,0.5110969543457031]]"
"43","620.9108276367188","[[0.27977046370506287,0.2409771978855133,0.4162706732749939,0.5686200261116028],[0.5992010235786438,0.3819291293621063,0.6465241312980652,0.5091527104377747]]"
"44","628.3878173828125","[[0.2829708456993103,0.24385115504264832,0.4180671274662018,0.5742649435997009],[0.5949147343635559,0.3777824342250824,0.6439263820648193,0.5087540745735168]]"
"45","628.4461059570312","[[0.2869010269641876,0.23263788223266602,0.4224766194820404,0.5659863352775574],[0.5929200053215027,0.37525883316993713,0.6422991156578064,0.5057749152183533]]"
"46","630.4927978515625","[[0.2934907078742981,0.22215168178081512,0.42592790722846985,0.5532751083374023],[0.5928308367729187,0.3737776279449463,0.642467200756073,0.504210352897644]]"
"47","623.4759521484375","[[0.30093705654144287,0.22554560005664825,0.42906802892684937,0.5460883378982544],[0.5930203795433044,0.3763258755207062,0.6424150466918945,0.5046504139900208]]"
"48","624.1427001953125","[[0.30609291791915894,0.22344344854354858,0.43327993154525757,0.5455805063247681],[0.5934875011444092,0.37870779633522034,0.6428312659263611,0.508794367313385]]"
"49","625.9650268554688","[[0.31206950545310974,0.2210318148136139,0.4361935555934906,0.5444530248641968],[0.5952961444854736,0.38275477290153503,0.643742024898529,0.5129294991493225]]"
"50","621.8761596679688","[[0.3165573477745056,0.21815694868564606,0.4386260211467743,0.5414199829101562],[0.5946505665779114,0.38639694452285767,0.6437621712684631,0.5156252980232239]]"
"51","623.826904296875","[[0.31997019052505493,0.21613934636116028,0.44076380133628845,0.537950873374939],[0.5931373834609985,0.38984397053718567,0.6428064107894897,0.5194376111030579]]"
"52","623.3357543945312","[[0.32462117075920105,0.22421623766422272,0.4412827491760254,0.5281656384468079],[0.592242956161499,0.3931802213191986,0.6426097750663757,0.5229262113571167]]"
"53","626.2256469726562","[[0.33087560534477234,0.2249484658241272,0.44328054785728455,0.5255320072174072],[0.594186007976532,0.39661338925361633,0.643563449382782,0.5261393189430237]]"
"54","632.9866333007812","[[0.3331303894519806,0.2296474426984787,0.4456523656845093,0.533319354057312],[0.5954086780548096,0.398238867521286,0.644683301448822,0.5268735885620117]]"
"55","628.6514282226562","[[0.3370603322982788,0.2522006630897522,0.4472693204879761,0.5415952801704407],[0.5961010456085205,0.3969469666481018,0.6446642279624939,0.5271010994911194]]"
"56","620.785888671875","[[0.33978432416915894,0.2717551589012146,0.448015958070755,0.5496623516082764],[0.5965861678123474,0.39338722825050354,0.6439679265022278,0.5232623815536499]]"
"57","636.7103271484375","[[0.34236469864845276,0.28060629963874817,0.4484248459339142,0.5576543807983398],[0.5954396724700928,0.38848671317100525,0.6425288915634155,0.5186134576797485]]"
"58","621.4434814453125","[[0.3468455672264099,0.29945144057273865,0.45022329688072205,0.5628008842468262],[0.5951435565948486,0.3837217092514038,0.6437119245529175,0.514102578163147]]"
"59","624.1008911132812","[[0.34861183166503906,0.31274354457855225,0.4507479965686798,0.5700954794883728],[0.5959382653236389,0.3798545300960541,0.6439873576164246,0.5130424499511719]]"
"60","624.4165649414062","[[0.3505447506904602,0.3138463497161865,0.4514288306236267,0.575949490070343],[0.5962837934494019,0.3753693997859955,0.6437190771102905,0.5076521635055542]]"
"61","631.6145629882812","[[0.3523658812046051,0.329063355922699,0.4502754211425781,0.5804153680801392],[0.5941718220710754,0.3699643313884735,0.6421183347702026,0.5011135339736938]]"
"62","622.1016845703125","[[0.3526531457901001,0.3300984501838684,0.4495960474014282,0.5783123970031738],[0.592641294002533,0.36496806144714355,0.6411095857620239,0.49728840589523315]]"
"63","633.9522094726562","[[0.3513326346874237,0.32926586270332336,0.4481666684150696,0.5722649097442627],[0.5910837650299072,0.35802873969078064,0.6390874981880188,0.4942537546157837]]"
"64","624.0040283203125","[[0.34913745522499084,0.3176783621311188,0.44552627205848694,0.5631911158561707],[0.5879754424095154,0.3555087447166443,0.6364896297454834,0.49095985293388367]]"
"65","632.0389404296875","[[0.34802916646003723,0.3155675232410431,0.442640095949173,0.5579264163970947],[0.5829846858978271,0.35057246685028076,0.6327465176582336,0.4870908856391907]]"
"66","623.6051025390625","[[0.3444584608078003,0.3072011172771454,0.4404068887233734,0.546143114566803],[0.5790299773216248,0.34779930114746094,0.6288862228393555,0.48540446162223816]]"
"67","628.9923706054688","[[0.34284454584121704,0.2996399700641632,0.43795809149742126,0.5379554629325867],[0.5723878145217896,0.34635981917381287,0.6253392696380615,0.48643746972084045]]"
"68","625.8787841796875","[[0.34163573384284973,0.2896553575992584,0.4359237849712372,0.5284407734870911],[0.5680329203605652,0.3471427857875824,0.6209195852279663,0.48619452118873596]]"
"69","625.8909301757812","[[0.33934956789016724,0.2853662073612213,0.4335426390171051,0.524560809135437],[0.5631240606307983,0.3474436402320862,0.6174391508102417,0.4894687831401825]]"
"70","626.9910888671875","[[0.3354162573814392,0.28496307134628296,0.43126180768013,0.5254184603691101],[0.556189239025116,0.34850621223449707,0.6122857332229614,0.4912627041339874]]"
"71","630.9562377929688","[[0.33340051770210266,0.290861576795578,0.4263748824596405,0.5257652401924133],[0.5509244799613953,0.3500218093395233,0.6068604588508606,0.492038369178772]]"
"72","625.778076171875","[[0.5438570380210876,0.3503786325454712,0.599875271320343,0.4925543963909149],[0.3275802433490753,0.2929719090461731,0.422328919172287,0.5276021957397461]]"
"73","633.2891235351562","[[0.3173379898071289,0.2965599000453949,0.4143800437450409,0.5321103930473328],[0.5355871915817261,0.3485538363456726,0.5910602807998657,0.4910567104816437]]"
"74","634.6834106445312","[[0.3148067593574524,0.2955041527748108,0.4100511968135834,0.5418993234634399],[0.5298287272453308,0.3500576317310333,0.5859152674674988,0.49190548062324524]]"
"75","627.0660400390625","[[0.5265624523162842,0.3546803295612335,0.5826738476753235,0.4953683912754059],[0.3117251694202423,0.3015453815460205,0.40731075406074524,0.5504635572433472]]"
"76","631.8302001953125","[[0.5249188542366028,0.35807979106903076,0.5807092785835266,0.49701282382011414],[0.31062939763069153,0.30825379490852356,0.4061037600040436,0.5578009486198425]]"
"77","630.1057739257812","[[0.30831214785575867,0.3107398748397827,0.4042373299598694,0.5596171617507935],[0.523158073425293,0.3609914481639862,0.57950359582901,0.498647004365921]]"
"78","633.7364501953125","[[0.30417168140411377,0.3129108250141144,0.40015706419944763,0.559366762638092],[0.5199695825576782,0.3622346520423889,0.5763499140739441,0.4982253909111023]]"
"79","627.4843139648438","[[0.2996365427970886,0.30694136023521423,0.3959640562534332,0.5517576336860657],[0.517442524433136,0.3589474856853485,0.5731702446937561,0.4951765835285187]]"
"80","634.5944213867188","[[0.5157979130744934,0.35644105076789856,0.5702195763587952,0.49095064401626587],[0.2952471971511841,0.30130138993263245,0.3924442231655121,0.5486354231834412]]"
"81","630.8759155273438","[[0.2920147478580475,0.29899895191192627,0.3913850486278534,0.5458716750144958],[0.5150434374809265,0.3551565110683441,0.569441556930542,0.48948556184768677]]"
"82","631.9407958984375","[[0.28683218359947205,0.2867160737514496,0.388898104429245,0.539169192314148],[0.514533281326294,0.3519866466522217,0.5684230327606201,0.4841357171535492]]"
"83","654.79296875","[[0.2820179760456085,0.27335551381111145,0.38691410422325134,0.5274704098701477],[0.5149359703063965,0.35068586468696594,0.5680583715438843,0.4803662896156311]]"
"84","636.86376953125","[[0.2771822512149811,0.2641521096229553,0.3845016360282898,0.5149960517883301],[0.515895664691925,0.35035762190818787,0.5687258839607239,0.4807249903678894]]"
"85","660.80419921875","[[0.27387046813964844,0.24766746163368225,0.38152405619621277,0.5107710957527161],[0.5175614953041077,0.35378628969192505,0.5682119131088257,0.4822639226913452]]"
"86","682.8832397460938","[[0.26936858892440796,0.24120274186134338,0.3786739110946655,0.5067811608314514],[0.5208296179771423,0.35643109679222107,0.5695235133171082,0.48689988255500793]]"
"87","657.0645751953125","[[0.2631746530532837,0.23447197675704956,0.374054878950119,0.5067510604858398],[0.5216698050498962,0.36132311820983887,0.5694332718849182,0.49198833107948303]]"
"88","660.565673828125","[[0.2603018879890442,0.2330668568611145,0.3703160881996155,0.5062705874443054],[0.52182936668396,0.36684125661849976,0.5696521997451782,0.4880257546901703]]"
"89","690.3076171875","[[0.25859349966049194,0.22932352125644684,0.3692817687988281,0.5058109760284424],[0.5252072215080261,0.37268248200416565,0.5711964964866638,0.491180419921875]]"
"90","689.9627075195312","[[0.2567760646343231,0.2294784039258957,0.3668309152126312,0.5061768293380737],[0.5275932550430298,0.37561219930648804,0.5728572607040405,0.49796396493911743]]"
"91","687.7122192382812","[[0.2543567717075348,0.22969269752502441,0.36640235781669617,0.5091328024864197],[0.5285803079605103,0.3770277202129364,0.5727781057357788,0.49825432896614075]]"
"92","706.1505126953125","[[0.25264403223991394,0.22787325084209442,0.36585739254951477,0.5115135312080383],[0.5296772718429565,0.37839803099632263,0.5729658007621765,0.5022155046463013]]"
"93","644.4583740234375","[[0.2515196204185486,0.2276289165019989,0.36536115407943726,0.5145381093025208],[0.5314249396324158,0.3805363178253174,0.5751744508743286,0.5017932653427124]]"
"94","704.3855590820312","[[0.2506755590438843,0.2273147702217102,0.3658936619758606,0.5174320340156555],[0.5351538062095642,0.38418030738830566,0.5778140425682068,0.5053051114082336]]"
"95","685.28759765625","[[0.2506122589111328,0.23150359094142914,0.36711883544921875,0.5207770466804504],[0.5395861864089966,0.3867114782333374,0.580757737159729,0.5067426562309265]]"
"96","664.5062255859375","[[0.2515537738800049,0.23714078962802887,0.36686620116233826,0.5224622488021851],[0.5430058240890503,0.3887636661529541,0.5840437412261963,0.507828414440155]]"
"97","717.0848388671875","[[0.2523753345012665,0.23693883419036865,0.3684220314025879,0.5213813781738281],[0.5455731153488159,0.3883548974990845,0.5865262150764465,0.5089551210403442]]"
"98","663.2286987304688","[[0.25393009185791016,0.2309815138578415,0.3694472908973694,0.5200800895690918],[0.5476797223091125,0.3846498131752014,0.5883151888847351,0.5078210830688477]]"
"99","694.7803955078125","[[0.25519952178001404,0.22919997572898865,0.36939868330955505,0.5147454142570496],[0.550373375415802,0.37957486510276794,0.5909242033958435,0.503443717956543]]"
"100","695.1361083984375","[[0.25616899132728577,0.22404170036315918,0.37043318152427673,0.5102775692939758],[0.5519091486930847,0.3719382882118225,0.5935239791870117,0.4995597004890442]]"
"101","691.0608520507812","[[0.2590537369251251,0.22616463899612427,0.37231943011283875,0.5076268315315247],[0.5529682636260986,0.36422863602638245,0.595626175403595,0.4905053675174713]]"
"102","700.25927734375","[[0.26166558265686035,0.21738937497138977,0.3750894367694855,0.5002078413963318],[0.5553892850875854,0.3567153215408325,0.597648561000824,0.4802897572517395]]"
"103","666.6152954101562","[[0.26375439763069153,0.20909209549427032,0.37607860565185547,0.49289020895957947],[0.5549868941307068,0.3464730978012085,0.5972365140914917,0.4708036482334137]]"
"104","694.6826782226562","[[0.266714870929718,0.21008987724781036,0.37793704867362976,0.4854498505592346],[0.5535176396369934,0.337541788816452,0.5967015027999878,0.4624524712562561]]"
"105","728.170654296875","[[0.2696889042854309,0.20192965865135193,0.3797500729560852,0.48440393805503845],[0.5523764491081238,0.332309752702713,0.5959872007369995,0.4594569802284241]]"
"106","671.4172973632812","[[0.27163219451904297,0.19864580035209656,0.3821831941604614,0.48622679710388184],[0.5518897771835327,0.33250007033348083,0.5962161421775818,0.4583761394023895]]"
"107","683.8883056640625","[[0.27191361784935,0.19571465253829956,0.3848170340061188,0.4889025092124939],[0.5515716075897217,0.3326602876186371,0.5961074233055115,0.4570205509662628]]"
"108","703.820068359375","[[0.2719394862651825,0.19310501217842102,0.38482537865638733,0.48843082785606384],[0.5503652095794678,0.3328005373477936,0.594901442527771,0.45778870582580566]]"
"109","703.3389892578125","[[0.27176767587661743,0.18493841588497162,0.3859902024269104,0.48696520924568176],[0.5487302541732788,0.33179745078086853,0.5933961868286133,0.4569457471370697]]"
"110","706.8928833007812","[[0.2708224654197693,0.1756024807691574,0.3885752558708191,0.48325374722480774],[0.5470234155654907,0.33084842562675476,0.5916489362716675,0.45601868629455566]]"
"111","733.2335815429688","[[0.2701070010662079,0.1743839532136917,0.3911805748939514,0.4816420376300812],[0.5457192063331604,0.3296215236186981,0.5904586911201477,0.45605137944221497]]"
